
1,100,0.005511,687,687,1000,0,0,0.0,2.748,2.748,0,505,395,12,462,462,0,0,107,91,36,81,54,29,24,45,58,16,22,49,99,13,29,50,70,12,2,7,4,0,0,2,0,0
2,100,0.005511,687,687,1000,0,0,0.0,2.748,2.748,0,512,388,12,463,453,0,0,116,90,42,86,40,36,25,30,24,23,25,21,81,22,65,37,54,31,38,4,1,8,1,0,0,0
3,100,0.005511,687,687,1000,0,0,0.0,2.748,2.748,0,475,425,12,454,462,0,0,114,91,49,89,35,44,32,30,26,28,48,18,76,40,49,52,23,25,21,5,1,3,1,0,0,0
4,100,0.005511,687,687,1000,1,1,2.0,2.748,2.748,4,462,434,10,465,456,2,2,120,92,29,100,73,24,18,55,50,15,18,42,103,13,11,79,34,3,6,11,0,0
5,100,0.005511,687,687,1000,0,0,0.0,2.748,2.748,0,486,414,12,461,457,0,0,105,91,31,84,58,27,29,47,48,22,16,46,50,14,50,28,52,28,45,17,1,10,1,0,0,0
6,100,0.005511,687,687,1000,0,0,0.0,2.748,2.748,0,460,440,12,458,460,0,0,94,94,45,68,35,35,35,29,16,33,42,12,10,39,110,8,35,99,34,4,2,19,2,0,0,0
7,100,0.005511,687,687,1000,0,0,0.0,2.748,2.748,0,478,422,14,465,463,0,0,93,93,53,73,61,42,28,46,19,21,29,17,29,27,27,24,73,22,37,36,15,14,12,4,1,3,1,0,0,0
8,100,0.005511,687,687,1000,0,0,0.0,2.748,2.748,0,492,408,12,456,461,0,0,94,91,35,74,57,27,24,46,73,20,33,55,48,27,44,28,45,26,29,11,9,1,1,2,0,0
9,100,0.005511,687,687,1000,0,0,0.0,2.748,2.748,0,464,436,16,455,469,0,0,104,95,30,85,55,24,17,45,24,12,12,23,19,12,13,15,17,13,42,13,29,35,80,4,13,55,7,3,1,2,1,0,0,0
10,100,0.005511,687,687,1000,1,1,2.0,2.748,2.748,4,474,422,15,453,471,2,2,95,88,27,77,31,23,20,28,28,19,22,23,36,19,18,32,78,14,25,68,63,13,27,13,3,3,1,1,0,1,0,0
11,100,0.005511,687,687,1000,0,0,0.0,2.748,2.748,0,477,423,14,465,459,0,0,112,91,20,92,49,16,13,42,32,10,2,29,25,2,2,25,89,2,4,68,119,1,0,41,10,0,0,4,0,0
